Node id,longitude,latitude,Node name,,N1,D1,N2,D2,N3,D3
7001,37.806249,-122.423884,Beach and Polk,,7002,348,7005,482,,
7002,37.805304,-122.423686,North Point and Polk,,7003,348,7006,479,,
7003,37.80438,-122.423482,Bay and Polk,,7007,479,,,,
7004,37.807517,-122.421851,W. end of Jefferson,,7009,6864,,,,
7005,37.806461,-122.422216,Beach and Larkin,,7006,351,7010,482,,
7006,37.80552,-122.422044,North Point and Larkin,,7007,348,7011,479,,
7007,37.804588,-122.421862,Bay and Larkin,,7012,479,,,,
7008,37.808801,-122.421079,N. end of Hyde,,7009,194,,,,
7009,37.807614,-122.420768,Jefferson and Hyde,,7010,344,7014,486,,
7010,37.806682,-122.42058,Beach and Hyde,,7011,341,7015,482,7016,528
7011,37.805762,-122.420408,North Point and Hyde,,7012,344,7016,476,,
7012,37.804821,-122.420194,Bay and Hyde,,7018,474,,,,
7013,37.808322,-122.419212,N. end of Leavenworth,,7014,171,,,,
7014,37.807826,-122.41911,Jefferson and Leavenworth,,7015,341,7019,482,,
7015,37.806893,-122.418944,Beach and Leavenworth,,7016,348,7020,479,,
7016,37.80594,-122.418767,North Point and Leavenworth,,7017,259,7021,489,7022,1056
7017,37.805512,-122.418686,Midway 2700 block of Leavenworth,,7018,469,,,,
7018,37.805007,-122.418568,Bay and Leavenworth,,7022,489,,,,
7019,37.808029,-122.417453,Jefferson and Jones,,7020,344,7023,479,,
7020,37.807101,-122.417292,Beach and Jones,,7021,344,7024,479,,
7021,37.80619,-122.417115,North Point and Jones,,7022,348,7025,476,,
7022,37.805232,-122.416911,Bay and Jones,,7026,476,,,,
7023,37.808245,-122.415816,Jefferson and Taylor,,7024,348,7027,472,,
7024,37.807309,-122.415639,Beach and Taylor,,7025,344,7028,479,,
7025,37.806381,-122.415468,North Point and Taylor,,7026,344,7029,482,,
7026,37.805444,-122.415275,Bay and Taylor,,7030,482,,,,
7027,37.808436,-122.414186,Jefferson and Mason,,7028,344,7032,479,,
7028,37.807508,-122.414014,Beach and Mason,,7029,344,7033,482,,
7029,37.806584,-122.413821,North Point and Mason,,7030,344,7034,479,,
7030,37.805652,-122.413617,Bay and Mason,,7031,171,7035,476,,
7031,37.805177,-122.413531,Vandewater and Mason,,,,,,,
7032,37.808614,-122.412544,Jefferson and Powell,,7033,328,,,,
7033,37.807724,-122.412356,Beach and Powell,,7034,344,7036,476,,
7034,37.806796,-122.412174,North Point and Powell,,7035,348,7037,476,,
7035,37.805864,-122.411986,Bay and Powell,,7038,482,,,,
7036,37.807919,-122.410726,Beach and Stockton,,7037,348,7039,479,,
7037,37.806991,-122.410538,North Point and Stockton,,7038,344,7040,469,,
7038,37.806054,-122.410329,Bay and Stockton,,,,,,,
7039,37.808114,-122.40911,Beach and Grant,,7040,1056,,,,
7040,37.807188,-122.408925,North Point and Grant,,,,,,,
